0,2852172,2575462
1,2834591,2855438
1,2831512,2848096
1,2833653,2850801
1,2831585,2831700
1,2810185,2820026
0,2846803,2817043
0,2830267,2807177
0,2892000,2815067
1,2805583,2809843
0,2798215,2792504
0,2804029,2801872
1,2727936,2755314
1,2800975,2810598
0,2820691,2788795
1,2464874,2630197
1,2363461,2424859
0,2638920,2439781
1,2812726,2824586
0,2821991,2821945
1,2822431,2829817
1,2815873,2834324
0,2836754,2819953
0,2841939,2827994
1,2599595,2830280
0,2880503,2786562
1,2897120,2901219
1,2896310,2897583
1,2861242,2881519
1,2710038,2864615
1,2688819,2882569
1,2880666,2882661
0,2881550,2865685
1,2681452,2880791
1,2857505,2879442
1,2866766,2871222
1,2858907,2858908
1,2796748,2825847
0,2871703,2849863
0,2874907,2866374
1,2829333,2860108
1,2661692,2854700
1,2680785,2852142
1,2845849,2872705
0,2865089,2856290
1,2863049,2876558
1,2720054,2891880
1,2883305,2904202
0,2870551,2867632
1,2665421,2893302
1,2750821,2779366
1,2721928,2873719
0,2879956,2872854
1,2870391,2882583
1,2712524,2874817
0,2866524,2864506
0,2871488,2871148
1,2864443,2872207
1,2868895,2902356
0,2883431,2859860
1,2862601,2869465
1,2686514,2854239
1,2790790,2811874
0,2873368,2868094
1,2869494,2873310
1,2688436,2870667
0,2861868,2856384
0,2867423,2853881
0,2883046,2872350
1,2679808,2851809
1,2697026,2872359
0,2891075,2884579
1,2867333,2870484
0,2879500,2865870
1,2596957,2879188
0,2902444,2767737
0,2919331,2900484
0,2922001,2902910
1,2900553,2902968
0,2897485,2892877
1,2878122,2917946
1,2867957,2885038
1,2862600,2878138
0,2881204,2880657
0,2900098,2900072
1,2878187,2878187
0,2879674,2861621
1,2810526,2818576
0,2877783,2869503
1,2869343,2874259
0,2863941,2860616
0,2856630,2856095
1,2869411,2892989
1,2878952,2897976
1,2863751,2891375
1,2692624,2895127
0,2902443,2897512
0,2899586,2886190
0,2906778,2899709
1,2597398,2891294
1,3082399,3419149
1,2912498,2916316
1,2896431,2901605
0,2915523,2897546
1,2889804,2893333
1,2890217,2909619
1,2898478,2901998
0,2893614,2891213
1,2882184,2899177
1,2871487,2879835
1,2888980,2897008
1,2729195,2892353
1,2835536,2848631
1,2879437,2887218
0,2901233,2876025
0,2874358,2851091
0,2889410,2884404
0,2886179,2877346
1,2901440,2924972
1,2876322,2893955
